case_tag,source_tag,binning_tag,fit_mode,state,rapidity,source_file,output_file,n_weight_bins
local260505_2exp_coarse3_doubleExp,local260505_2exp,coarse3,doubleExp,prompt,mid,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y0_1p6_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_coarse3_doubleExp/ratioDataMC_AA_Jpsi_DATA_mid.root,2
local260505_2exp_nominal_linear,local260505_2exp,nominal,linear,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_nominal_linear/ratioDataMC_AA_Jpsi_DATA_fwd.root,6
local260505_2exp_nominal_poly2,local260505_2exp,nominal,poly2,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_nominal_poly2/ratioDataMC_AA_Jpsi_DATA_fwd.root,6
local260505_2exp_nominal_expoConst,local260505_2exp,nominal,expoConst,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_nominal_expoConst/ratioDataMC_AA_Jpsi_DATA_fwd.root,6
local260505_2exp_nominal_doubleExp,local260505_2exp,nominal,doubleExp,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_nominal_doubleExp/ratioDataMC_AA_Jpsi_DATA_fwd.root,6
local260505_2exp_mergeLow_linear,local260505_2exp,mergeLow,linear,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLow_linear/ratioDataMC_AA_Jpsi_DATA_fwd.root,5
local260505_2exp_mergeLow_poly2,local260505_2exp,mergeLow,poly2,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLow_poly2/ratioDataMC_AA_Jpsi_DATA_fwd.root,5
local260505_2exp_mergeLow_expoConst,local260505_2exp,mergeLow,expoConst,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLow_expoConst/ratioDataMC_AA_Jpsi_DATA_fwd.root,5
local260505_2exp_mergeLow_doubleExp,local260505_2exp,mergeLow,doubleExp,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLow_doubleExp/ratioDataMC_AA_Jpsi_DATA_fwd.root,5
local260505_2exp_mergeHigh_linear,local260505_2exp,mergeHigh,linear,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeHigh_linear/ratioDataMC_AA_Jpsi_DATA_fwd.root,5
local260505_2exp_mergeHigh_poly2,local260505_2exp,mergeHigh,poly2,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeHigh_poly2/ratioDataMC_AA_Jpsi_DATA_fwd.root,5
local260505_2exp_mergeHigh_expoConst,local260505_2exp,mergeHigh,expoConst,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeHigh_expoConst/ratioDataMC_AA_Jpsi_DATA_fwd.root,5
local260505_2exp_mergeHigh_doubleExp,local260505_2exp,mergeHigh,doubleExp,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeHigh_doubleExp/ratioDataMC_AA_Jpsi_DATA_fwd.root,5
local260505_2exp_mergeLowHigh_linear,local260505_2exp,mergeLowHigh,linear,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLowHigh_linear/ratioDataMC_AA_Jpsi_DATA_fwd.root,4
local260505_2exp_mergeLowHigh_poly2,local260505_2exp,mergeLowHigh,poly2,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLowHigh_poly2/ratioDataMC_AA_Jpsi_DATA_fwd.root,4
local260505_2exp_mergeLowHigh_expoConst,local260505_2exp,mergeLowHigh,expoConst,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLowHigh_expoConst/ratioDataMC_AA_Jpsi_DATA_fwd.root,4
local260505_2exp_mergeLowHigh_doubleExp,local260505_2exp,mergeLowHigh,doubleExp,prompt,fwd,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ratioDataMC_AA_Jpsi_DATA_y1p6_2p4_260505_2exp.root,/data/hwan/psi2S_RAA_PbPb2018/compareDataToMC/ptw_binning_scan_260509/local260505_2exp_mergeLowHigh_doubleExp/ratioDataMC_AA_Jpsi_DATA_fwd.root,4
